Formation,Formation Slot,Selected Player,Selected OVR,Selected Role Fit,Selected Score,Naive Runner-Up,Naive Runner-Up OVR,Naive Runner-Up Role Fit,Naive Runner-Up Score,Naive Runner-Up Margin,Player Removal Margin,Replacement Player After Reoptimization
3-4-3,RWB,Achraf Hakimi,89.0,0.8337612402261589,0.8530118759503204,Carvajal,85.0,0.98902408278031,0.8476676175908158,0.005344258359504583,0.0053442583595053605,Carvajal
3-4-3,CM1,Pedri,89.0,0.8770553125530485,0.8626448070430534,Vitinha,89.0,0.795899749002126,0.8445876941529731,0.018057112890080274,0.03979323484813335,Vitinha
3-4-3,CM2,Vitinha,89.0,0.795899749002126,0.8445876941529731,Pedri,89.0,0.8770553125530485,0.8626448070430534,-0.018057112890080274,0.021736121958051413,Frenkie de Jong
3-4-3,LW,Vini Jr.,89.0,0.804790673085482,0.8465659247615198,Raphinha,89.0,0.5729705649069409,0.7949859506917943,0.051579974069725476,0.051579974069726475,Raphinha
3-4-3,RW,Mohamed Salah,91.0,0.6368583257414466,0.827385269106179,Lamine Yamal,89.0,0.6654185385961279,0.8155556248376384,0.011829644268540607,0.011829644268541273,Lamine Yamal
3-4-3,ST,Erling Haaland,90.0,0.9999611285147314,0.8999912539158146,Harry Kane,89.0,0.9841806203997862,0.8864801880389525,0.013511065876862127,0.01351106587686246,Harry Kane
5-3-2,GK,Alisson,89.0,0.872,0.86152,Thibaut Courtois,89.0,0.856,0.85796,0.0035600000000000076,0.0035600000000000076,
5-3-2,LB,Nuno Mendes,86.0,0.99502880398078,0.8589311928558677,Balde,83.0,0.9983784912075896,0.8296635369255748,0.029267655930292902,0.029267655930294012,Balde
5-3-2,CB1,Virgil van Dijk,90.0,0.9961802750195612,0.8991405618794013,Gabriel,88.0,0.9997095821450804,0.8799361080719177,0.01920445380748359,0.029409676946947627,Jonathan Tah
5-3-2,CB2,Jonathan Tah,87.0,0.9997990044585502,0.8699562834697346,Virgil van Dijk,90.0,0.9961802750195612,0.8991405618794013,-0.029184278409666642,0.0002253985372817624,Gabriel
5-3-2,CB3,Gabriel,88.0,0.9997095821450804,0.8799361080719177,Virgil van Dijk,90.0,0.9961802750195612,0.8991405618794013,-0.01920445380748359,0.010205223139465147,Jonathan Tah
5-3-2,RB,Achraf Hakimi,89.0,0.8337612402261589,0.8530118759503204,Carvajal,85.0,0.98902408278031,0.8476676175908158,0.005344258359504583,0.005344258359503584,Carvajal
5-3-2,DM,Moisés Caicedo,87.0,0.9827188664274614,0.8662413534479729,N'Golo Kanté,85.0,0.9692898560025314,0.8434740944005379,0.02276725904743504,0.022767259047434152,N'Golo Kanté
5-3-2,CM1,Pedri,89.0,0.8770553125530485,0.8626448070430534,Vitinha,89.0,0.795899749002126,0.8445876941529731,0.018057112890080274,0.039793234848131576,Vitinha
5-3-2,CM2,Vitinha,89.0,0.795899749002126,0.8445876941529731,Pedri,89.0,0.8770553125530485,0.8626448070430534,-0.018057112890080274,0.021736121958051413,Frenkie de Jong
5-3-2,ST1,Harry Kane,89.0,0.9841806203997862,0.8864801880389525,Erling Haaland,90.0,0.9999611285147314,0.8999912539158146,-0.013511065876862127,0.007409459201713986,Erling Haaland
5-3-2,ST2,Erling Haaland,90.0,0.9999611285147314,0.8999912539158146,Harry Kane,89.0,0.9841806203997862,0.8864801880389525,0.013511065876862127,0.020920525078576446,Lautaro Martínez
