Method,Formation,Formation Slot,Name,Player Key,Primary Position,OVR,Accepted Exact Positions,Player Exact Eligible Positions
OVR Baseline,5-3-2,GK,Alisson,212831,Goalkeeper,89.0,Goalkeeper,Goalkeeper
OVR Baseline,5-3-2,LB,Nuno Mendes,252145,Left Back,86.0,Left Back,Left Back|Left Midfielder
OVR Baseline,5-3-2,CB1,Virgil van Dijk,203376,Center Back,90.0,Center Back,Center Back
OVR Baseline,5-3-2,CB2,Gabriel,232580,Center Back,88.0,Center Back,Center Back
OVR Baseline,5-3-2,CB3,Alessandro Bastoni,237383,Center Back,87.0,Center Back,Center Back
OVR Baseline,5-3-2,RB,Achraf Hakimi,235212,Right Back,89.0,Right Back,Right Back|Right Midfielder
OVR Baseline,5-3-2,DM,Rodri,231866,Defensive Midfielder,90.0,Defensive Midfielder,Central Midfielder|Defensive Midfielder
OVR Baseline,5-3-2,CM1,Jude Bellingham,252371,Attacking Midfielder,90.0,Central Midfielder,Attacking Midfielder|Central Midfielder
OVR Baseline,5-3-2,CM2,Vitinha,255253,Central Midfielder,89.0,Central Midfielder,Attacking Midfielder|Central Midfielder|Defensive Midfielder
OVR Baseline,5-3-2,ST1,Kylian Mbappé,231747,Striker,91.0,Striker,Left Midfielder|Left Winger|Striker
OVR Baseline,5-3-2,ST2,Ousmane Dembélé,231443,Striker,90.0,Striker,Attacking Midfielder|Right Winger|Striker
